"title","province","order","google_title","address","place_id","status","latitude","longitude"
"โรงเรียนเตรียมอุดมศึกษาพัฒนาการ","กรุงเทพ","22","Triam Udom Suksa Phatthanakan School","499 Phatthanakan 58, Suan Luang, Bangkok 10250, Thailand","ChIJd6CuTUtgHTERAilxuHEdflY","OPERATIONAL","13.7297371","100.6477181"
"โรงเรียนพระโขนงพิทยาลัย","กรุงเทพ","23","Phra Khanong Pittayalai School","182 ซ. สุขุมวิท 62 แขวง พระโขนงใต้ Phra Khanong, Bangkok 10260, Thailand","ChIJvyue9I6f4jARr2SwOWhuxNc","OPERATIONAL","13.6953085","100.5916795"
"บริเวณสำนักงานเขตบางนา","กรุงเทพ","23","Bang Na District Office","888 Sanphawut Rd, แขวงบางนาเหนือ Bang Na, Bangkok 10260, Thailand","ChIJ8651IBig4jARz2Di6qaa8Fk","OPERATIONAL","13.6811709","100.5920769"
"บริเวณสวนป่าเฉลิมพระเกียรติใต้สะพานสมเด็จพระเจ้าตากสินมหาราช","กรุงเทพ","24","Chaloem Phra Kiat Forest Park","PGC5+4W6, Khlong Ton Sai, Khlong San, Bangkok 10600, Thailand","ChIJcTKWSsKY4jAR0FjgeEpiUOs","OPERATIONAL","13.7202788","100.5097571"
"บริเวณสำนักงานเขตราษฎร์บูรณะ และบริเวณวัดราษฎร์บูรณะ","กรุงเทพ","24","Rat Burana District Office","MGJ4+Q8F, Rat Burana Rd, Rat Burana, Bangkok 10140, Thailand","ChIJn7tGPXOi4jARrqGCRNi78_I","OPERATIONAL","13.6819403","100.5058019"
"ศูนย์เยาวชนวัดเวฬุราชิณ","กรุงเทพ","24","ศูนย์เยาวชนวัดเวฬุราชิณ","PFGP+9H6, Thoet Thai 2 Alley, Bang Yi Ruea, Thon Buri, Bangkok 10600, Thailand","ChIJvbvYJPiY4jARM9DeboUVago","OPERATIONAL","13.7259637","100.4864407"
".ศูนย์กีฬาเฉลิมพระเกียรติ ฯ","กรุงเทพ","25","His Majesty the King's 84th Birthday Anniversary Sports Center","515 Phromraj Rd, Bang Bon Nuea, Bang Bon, Bangkok 10150, Thailand","ChIJvwPfPP-84jARaHyS-K0taUk","OPERATIONAL","13.6444269","100.3967427"
"บริเวณสำนักงานเขตราษฎร์บูรณะและบริเวณวัดราษฎร์บูรณะ","กรุงเทพ","25","Rat Burana District Office","MGJ4+Q8F, Rat Burana Rd, Rat Burana, Bangkok 10140, Thailand","ChIJn7tGPXOi4jARrqGCRNi78_I","OPERATIONAL","13.6819403","100.5058019"
"บริเวณพื้นที่สำนักงานเขตจอมทอง","กรุงเทพ","26","Chom Thong District Office","38 Rama II Soi 3 Yaek 3, Bang Mot, Chom Thong, Bangkok 10150, Thailand","ChIJjYEyJIii4jARkBzkFMRQerw","OPERATIONAL","13.6774207","100.4845071"
"เซ็นทรัลพลาซา พระราม 2","กรุงเทพ","26","Central Rama 2","160 Rama II Rd, Samae Dam, Bang Khun Thian, Bangkok 10150, Thailand","ChIJC2b3YzO94jAR2am2clljFiQ","OPERATIONAL","13.6639306","100.4377225"
"เซ็นทรัลพลาซา พระราม 2","กรุงเทพ","27","Central Rama 2","160 Rama II Rd, Samae Dam, Bang Khun Thian, Bangkok 10150, Thailand","ChIJC2b3YzO94jAR2am2clljFiQ","OPERATIONAL","13.6639306","100.4377225"
"บริเวณสำนักงานเขตบางบอน","กรุงเทพ","27","Bang Bon District Office","1 Ekkachai 135/1 Alley, แขวงบางบอนใต้ Bang Bon, Bangkok 10150, Thailand","ChIJiX9_Izm84jAR-s4SBn4fesM","OPERATIONAL","13.633944","100.3688808"
"บริเวณสำนักงานเขตหนองแขม","กรุงเทพ","28","Nong Khaem District Office","555 Petchkasem Rd, Nong Khang Phlu, Nong Khaem, Bangkok 10160, Thailand","ChIJJ1W0ef2V4jARDzIA2CYXzdk","OPERATIONAL","13.7054171","100.3491964"
"บริเวณสำนักงานเขตบางบอน","กรุงเทพ","28","Bang Bon District Office","1 Ekkachai 135/1 Alley, แขวงบางบอนใต้ Bang Bon, Bangkok 10150, Thailand","ChIJiX9_Izm84jAR-s4SBn4fesM","OPERATIONAL","13.633944","100.3688808"
"บริเวณสำนักงานเขตจอมทอง","กรุงเทพ","28","Chom Thong District Office","38 Rama II Soi 3 Yaek 3, Bang Mot, Chom Thong, Bangkok 10150, Thailand","ChIJjYEyJIii4jARkBzkFMRQerw","OPERATIONAL","13.6774207","100.4845071"
"บริเวณสำนักงานเขตบางแค","กรุงเทพ","29","Bang Khae District​ Office","1 ซอย กาญจนาภิเษก 0010 แยก 2 Bang Khae, Bangkok 10160, Thailand","ChIJVVWp8NiX4jARxlAPb91CuCI","OPERATIONAL","13.6961633","100.4091816"
"บริเวณสำนักงานเขตหนองแขม","กรุงเทพ","29","Nong Khaem District Office","555 Petchkasem Rd, Nong Khang Phlu, Nong Khaem, Bangkok 10160, Thailand","ChIJJ1W0ef2V4jARDzIA2CYXzdk","OPERATIONAL","13.7054171","100.3491964"
"บริเวณลานจอดรถด้านหลังอาคารสำนักงานเขตภาษีเจริญ","กรุงเทพ","30","รถ","PC6M+79Q Unnamed Road Bang Wa, Phasi Charoen, Bangkok 10160, Thailand","ChIJaa6InwGX4jARvrPesFtog30","OPERATIONAL","13.7107178","100.4334746"
"บริเวณสำนักงานเขตบางแค","กรุงเทพ","30","Bang Khae District​ Office","1 ซอย กาญจนาภิเษก 0010 แยก 2 Bang Khae, Bangkok 10160, Thailand","ChIJVVWp8NiX4jARxlAPb91CuCI","OPERATIONAL","13.6961633","100.4091816"
"บริเวณสำนักงานเขตทวีวัฒนา","กรุงเทพ","31","Thawi Watthana District Office","1 Soi Utthayan 5, Thawi Watthana, Bangkok 10170, Thailand","ChIJrS0m-6aW4jARft4cAw3cVb4","OPERATIONAL","13.7730171","100.3531135"
"บริเวณสำนักงานเขตตลิ่งชัน","กรุงเทพ","31","Taling Chan District Office","Taling Chan District Office, 333 Chak Phra Rd, Khlong Chak Phra, Taling Chan, Bangkok 10170, Thailand","ChIJAZ3NWvGZ4jAREszPU2VDRro","OPERATIONAL","13.7767307","100.4564236"
"บริเวณวิทยาลัยเทคโนโลยีสยาม","กรุงเทพ","32","Siam Technology College","46 Charan Sanit Wong Rd, Khwaeng Wat Tha Phra, Khet Bangkok Yai, Krung Thep Maha Nakhon 10600, Thailand","ChIJYePgx7OZ4jARjB7TWYJBQIo","OPERATIONAL","13.737756","100.471287"
"บริเวณลานจอดรถหลังอาคารสำนักงานเขตภาษีเจริญ","กรุงเทพ","32","Parking Building","จรัญสนิทวงศ์, 219 ซอย จรัญสนิทวงศ์ 75 Bang Phlat, Bangkok 10700, Thailand","ChIJe6W8y9ib4jARI6u5g7oAHvE","OPERATIONAL","13.7833199","100.5012684"
"ศูนย์เยาวชนวัดเวฬุราชิณ","กรุงเทพ","32","ศูนย์เยาวชนวัดเวฬุราชิณ","PFGP+9H6, Thoet Thai 2 Alley, Bang Yi Ruea, Thon Buri, Bangkok 10600, Thailand","ChIJvbvYJPiY4jARM9DeboUVago","OPERATIONAL","13.7259637","100.4864407"
"บริเวณสำนักงานเขตตลิ่งชัน","กรุงเทพ","32","Taling Chan District Office","Taling Chan District Office, 333 Chak Phra Rd, Khlong Chak Phra, Taling Chan, Bangkok 10170, Thailand","ChIJAZ3NWvGZ4jAREszPU2VDRro","OPERATIONAL","13.7767307","100.4564236"
"ลานอเนกประสงค์สำนักงานเขตบางกอกน้อย","กรุงเทพ","32","Bangkok Noi District Office","9 99 Bang Khun Non Rd, Bang Khun Non, Bangkok Noi, Bangkok 10700, Thailand","ChIJcYyL8JGZ4jARYF-Jks6x6vQ","OPERATIONAL","13.770777","100.4680679"
"บริเวณลานอเนกประสงค์สำนักงานเขตบางกอกน้อย","กรุงเทพ","33","Bangkok Noi District Office","9 99 Bang Khun Non Rd, Bang Khun Non, Bangkok Noi, Bangkok 10700, Thailand","ChIJcYyL8JGZ4jARYF-Jks6x6vQ","OPERATIONAL","13.770777","100.4680679"
"บริเวณลานอเนกประสงค์สำนักงานเขตบางพลัด","กรุงเทพ","33","Bang Phlat District Office","39 Charan Sanit Wong Rd, Bang Ao, Bang Phlat, Bangkok 10700, Thailand","ChIJazpl6sKb4jARPw-PFrlr06I","OPERATIONAL","13.793885","100.5050585"
"อาคารศูนย์ท่องเที่ยวเชิงเกษตร (ข้างสำนักงานเกษตรจังหวัดกาญจนบุรี)","กาญจนบุรี","1","อาคารศูนย์ท่องเที่ยวเชิงเกษตร","Pak Phraek, Mueang Kanchanaburi District, Kanchanaburi 71000, Thailand","ChIJZ6Jp01Nz4zAROqU3iK8iOHw","OPERATIONAL","13.9960692","99.5399427"
"สโมรสรอำเภอท่าม่วง (ติดที่ทำการไปรษณีย์อำเภอท่าม่วง)","กาญจนบุรี","2","อำเภอท่าม่วง","XJ8Q+MGR, Tha Muang, Tha Muang District, Kanchanaburi 71110, Thailand","ChIJ_XIOD4oP4zAR-V_fAaNzNXI","OPERATIONAL","13.9665563","99.6387312"
"อาคารป้องกันและบรรเทาสาธารณภัย เทศบาลตำบลท่ามะกา อำเภอท่ามะกา","กาญจนบุรี","3","สำนักงานป้องกันและบรรเทาสาธารณภัย","WQX2+RV9, Tha Ruea, Tha Maka District, Kanchanaburi 71130, Thailand","ChIJKw0F5gkF4zAR90bIONsguTs","OPERATIONAL","13.9495399","99.7522206"
"ศาลาประชาคมอำเภอเลาขวัญ","กาญจนบุรี","4","ศาลาประชาคมบ้านเปรงพุทธา","HPH6+H9C Unnamed Road Lao Khwan, Lao Khwan District, Kanchanaburi 71210, Thailand","ChIJO-4DbmfF4zARS2E6C1Wl7Bc","OPERATIONAL","14.5789663","99.71090939999999"
"ศาลาประชาคมอำเภอไทรโยค","กาญจนบุรี","5","ศาลาประชาคม​ หมู่​6","GQX7+PFH, Lin Thin, Thong Pha Phum District, Kanchanaburi 71180, Thailand","ChIJR_ijm9s-5DAR-KVvyca1gI8","OPERATIONAL","14.5493432","98.7636725"
"หอประชุมเฉลิมพระเกียรติ 80 พรรษามหาราช ศาลากลางจังหวัดกาฬสินธุ์ (หลังเดิม)","กาฬสินธุ์","1","หอประชุมเฉลิมพระเกียรติ 80 พรรษา ศาลากลางจังหวัดกาฬสินธุ์","CGM4+9F6, Mueang Kalasin District, Kalasin 46000, Thailand","ChIJnYdFaCS1IjER00Uv7ltNFjs","OPERATIONAL","16.4334061","103.5061722"
"หอประชุมอำเภอยางตลาด","กาฬสินธุ์","2","หอประชุมเฉลิมพระเกียรติ 80 พรรษา ศาลากลางจังหวัดกาฬสินธุ์","CGM4+9F6, Mueang Kalasin District, Kalasin 46000, Thailand","ChIJnYdFaCS1IjER00Uv7ltNFjs","OPERATIONAL","16.4334061","103.5061722"
"หอประชุมอำเภอหนองกุงศรี","กาฬสินธุ์","3","Nong Kung Si District Office","M74V+8JJ Unnamed Road Nong Kung Si, Nong Kung Si District, Kalasin 46220, Thailand","ChIJQ-QOEMbEIjERm8Jla-tjzp0","OPERATIONAL","16.6558265","103.2940129"
"หอประชุมอำเภอสหัสขันธ์","กาฬสินธุ์","4","หอประชุมอำเภอสหัสขันธ์","45 227, Non Buri, Sahatsakhan District, Kalasin 46140, Thailand","ChIJ6fHMo2DTIjERdmQCh1M6VUo","OPERATIONAL","16.711462","103.5199198"
"อาคารเรียนโรงเรียนนามนราษฎร์สงเคราะห์ อำเภอนามน","กาฬสินธุ์","5","โรงเรียนนามนราษฎร์สงเคราะห์","หมู่ที่ 3 วัดกาฬสินธุ์ ถนนร.พ.ช.4052 Na Mon, Na Mon District, Kalasin 46230, Thailand","ChIJTz95o7o7PTER6RQ3SGHGvKo","OPERATIONAL","16.5731423","103.7920642"
"หอประชุมอำเภอกุฉินารายณ์","กาฬสินธุ์","6","หอประชุมที่ว่าการอำเภอกุฉินารายณ์","G3P3+QV5, Lang Sun Alley, Kuchinarai District, Kalasin 46110, Thailand","ChIJM5PVmLMRPTERQNabG5ZJvjM","OPERATIONAL","16.5368918","104.0547458"
"ศาลาอเนกประสงค์วัดพระบรมธาตุ พระอารามหลวง อำเภอเมืองกำแพงเพชร","กำแพงเพชร","1","Wat Phra Borommathat Nakhon Chum","FGH6+V5R, Nakhon Chum, Mueang Kamphaeng Phet District, Kamphaeng Phet 62000, Thailand","ChIJTRxBi0gY3jAR5qXagKTPpFA","OPERATIONAL","16.4797918","99.5104061"
"หอประชุมอำเภอพรานกระต่าย","กำแพงเพชร","2","ที่ว่าการอำเภอพรานกระต่าย","บ้านพักนายอำเภอ ถนนประเวศไพรวัลย์ Tambon Phran Kratai, Phran Kratai District, Kamphaeng Phet 62110, Thailand","ChIJp35-DqA_3jAR2j1pInjx3_4","OPERATIONAL","16.6649112","99.5883733"
"โดมหน้าที่ทำการองค์การบริหารส่วนตำบลคลองขลุง อำเภอคลองขลุง","กำแพงเพชร","3","องค์การบริหารส่วนตำบลคลองขลุง","หมู่ 10 Khlong Khlung, Khlong Khlung District, Kamphaeng Phet 62120, Thailand","ChIJR7Hr9VWb4DARmTQjrDR7SZo","OPERATIONAL","16.2085881","99.7094571"
"หอประชุมเฉลิมพระเกียรติ 80 พรรษา อำเภอขาณุวรลักษบุรี","กำแพงเพชร","4","หอประชุมเฉลิมพระเกียรติ80พรรษา","3V66+C8C, Saen To, Khanu Woralaksaburi District, Kamphaeng Phet 62130, Thailand","ChIJNRnYfU2J4DARYNfmbe_TeL8","OPERATIONAL","16.0609818","99.8609025"
